Transactions Per Block,Estimated Transaction Volume,Fees Per Transaction,Market Value to Realised Value,Confirmed Payments,Price,Vol.,Change %,Date
0.20797404186744048,0.003394780894555799,0.0008214101563863766,0.062495544532842146,0.08872763286730262,0.003338068765037733,0.04058907686612708,0.14670727065093264,2015-10-09
0.21224707708760368,0.0027981004568098183,0.0008084620146206536,0.06290943657688401,0.08885188445877285,0.0033572294713561128,0.03897831981031085,0.14655500570993532,2015-10-10
0.2165201123077669,0.0022014200190638386,0.0007955138728549307,0.06332332862092588,0.08897613605024308,0.0033873391527135667,0.04144948125619041,0.1475701053165842,2015-10-11
0.2207931475279301,0.002821221704800043,0.0007825657310892078,0.06373722066496773,0.08910038764171332,0.0033572294713561128,0.040408992226346384,0.14282451465550058,2015-10-12
0.2250661827480933,0.003441023390536248,0.0007696175893234848,0.06415111270900961,0.08924456655335686,0.003403762615272178,0.07491521014876992,0.14873746986423045,2015-10-13
0.22591546854368255,0.0040608250762724524,0.0008005653199794197,0.06607902482306952,0.08938874546500039,0.0034516643810681277,0.0696127179774494,0.14881360233472912,2015-10-14
0.22676475433927182,0.004680626762008658,0.0008315130506353549,0.06800693693712945,0.08953292437664392,0.003480405440545697,0.06066851420167479,0.14731633041492198,2015-10-15
0.22761404013486108,0.004806153326330712,0.0008624607812912899,0.06993484905118935,0.08967710328828746,0.0035967383003358594,0.09522475563514853,0.15358457048597896,2015-10-16
0.22846332593045035,0.004931679890652766,0.0008934085119472249,0.07186276116524928,0.0898155669166087,0.0036884359662881063,0.11389352995908077,0.15165588123334606,2015-10-17
0.2309653319264586,0.00505720645497482,0.0008828087340178512,0.07266166951717082,0.08995403054492994,0.0035803148377772484,0.05229457845187238,0.13774901662225608,2015-10-18
0.23346733792246688,0.005182733019296874,0.0008722089560884775,0.07346057786909238,0.09009249417325117,0.0036090558972548185,0.058197352755795226,0.14726557543458954,2015-10-19
0.23596934391847516,0.005025547878854854,0.0008616091781591037,0.07425948622101392,0.09023095780157242,0.0036911732100478748,0.07543545466369193,0.15089455652835937,2015-10-20
0.2384713499144834,0.0048683627384128346,0.0008510094002297299,0.07505839457293548,0.09038062131313765,0.0036542204192909996,0.059668043980670916,0.14269762720466947,2015-10-21
0.2273225105964908,0.004711177597970816,0.0008664769516810859,0.07719392500956856,0.09053028482470286,0.0037541298165225507,0.09319380108651067,0.15213805354650428,2015-10-22
0.2161736712784982,0.004553992457528795,0.0008819445031324419,0.07932945544620165,0.09067994833626809,0.0037883453635196573,0.06935259571998839,0.14749397284608554,2015-10-23
0.2050248319605056,0.004998333544915688,0.000897412054583798,0.08146498588283477,0.09082961184783332,0.0038663568106730613,0.06015827438896282,0.1503616292348687,2015-10-24
0.193875992642513,0.005442674632302581,0.0009128796060351539,0.08373842817017926,0.09096792262288358,0.003938893770306927,0.113953558172341,0.14995558939220913,2015-10-25
0.20637520060875966,0.005887015719689473,0.0009579219259378261,0.08601187045752373,0.09110623339793385,0.003900572357670168,0.07324442487969346,0.14279913716533438,2015-10-26
0.21887440857500629,0.006331356807076366,0.0010029642458404982,0.08828531274486823,0.09124454417298411,0.004031960058139057,0.10591978229767991,0.15366070295647763,2015-10-27
0.23137361654125294,0.00640920436556856,0.0010480065657431702,0.09055875503221272,0.09138285494803437,0.004152398783568874,0.11646473842706072,0.1528232457809923,2015-10-28
0.24387282450749959,0.006487051924060754,0.0010930488856458424,0.09298659945397311,0.0915469351514144,0.004290629593437185,0.13898532310185788,0.1536099479761452,2015-10-29
0.2472078266240285,0.006564899482552948,0.0010975339801240131,0.09541444387573347,0.09171101535479445,0.004475393547221561,0.1565635848848959,0.15609694201243499,2015-10-30
0.2505428287405573,0.006642747041045142,0.0011020190746021843,0.09784228829749386,0.09187509555817448,0.004257782668319962,0.10587976348883976,0.13287653851034134,2015-10-31
0.2538778308570862,0.010288840488668743,0.0011065041690803553,0.10027013271925425,0.09203917576155453,0.004419280050146306,0.07374465999019539,0.154726557543459,2015-11-01
0.2572128329736151,0.013934933936292342,0.0011109892635585263,0.12286836203832507,0.09222192371291164,0.004916089792544296,0.22320490630596382,0.17373429767795967,2015-11-02
0.25870690916876615,0.017581027383915943,0.001135175398868102,0.14546659135739584,0.09240467166426876,0.005425217131861244,0.4221884285614239,0.17147570105316587,2015-11-03
0.2602009853639172,0.02122712083153954,0.0011593615341776774,0.16806482067646664,0.09258741961562587,0.0054854364945761515,0.5179734475203346,0.14800152264941,2015-11-04
0.2616950615590683,0.017435219975872437,0.001183547669487253,0.15770772462277977,0.09277016756698299,0.005236347312437215,0.30309245345312297,0.13366324070549426,2015-11-05
0.26318913775421937,0.01364331912020533,0.0012077338047968287,0.14735062856909287,0.09293185621634702,0.005059795089932144,0.2554000380178684,0.13663240705494228,2015-11-06
0.2608042417623056,0.009851418264538222,0.001177802610071337,0.13699353251540597,0.09309354486571104,0.0052691942375544375,0.10307844687002891,0.1556655246796092,2015-11-07
0.25841934577039183,0.006059517408871115,0.0011478714153458451,0.1266364364617191,0.09325523351507507,0.005084430283770061,0.09440437005392535,0.13627712219261517,2015-11-08
0.25603444977847806,0.006826663967163056,0.0011179402206203531,0.11818924309240908,0.09341692216443911,0.005202131765440108,0.12559903154482607,0.15109757644968916,2015-11-09
0.2536495537865643,0.007593810525454999,0.0010880090258948614,0.10974204972309906,0.0935801441949472,0.0046067812476904505,0.21038888277490422,0.11612739500063446,2015-11-10
0.2508069270772908,0.00836095708374694,0.0010402209943625052,0.10129485635378899,0.0937433662254553,0.004168822246127485,0.264084119536182,0.12107600558304786,2015-11-11
0.24796430036801734,0.009128103642038882,0.000992432962830149,0.09284766298447897,0.0939065882559634,0.004568459835053691,0.16468740307944735,0.16944550183986806,2015-11-12
0.24512167365874388,0.00885944393445375,0.000944644931297793,0.0952745359487831,0.0940698102864715,0.004567091213173807,0.09729572899262653,0.14513386626062685,2015-11-13
