Date,Market Value to Realised Value
2011-11-16 16:22:16,0.48925793675719864
2011-11-20 15:29:29,0.4403555474252276
2011-11-24 22:34:38,0.44947541957158815
2011-11-29 05:36:59,0.4870349439016666
2011-12-02 22:23:03,0.5969170231478961
2011-12-06 18:02:21,0.5680734230829299
2011-12-10 08:25:08,0.592187045439408
2011-12-14 05:44:54,0.6397446752374754
2011-12-18 07:39:32,0.6242725085443632
2011-12-22 03:31:35,0.8405178376786525
2011-12-25 20:19:58,0.7792794239174363
2011-12-29 09:21:07,0.7966212706575975
2012-01-02 07:05:15,0.9771017231325979
2012-01-05 23:05:36,1.1018328450980786
2012-01-09 03:49:08,1.3284857783573278
2012-01-12 21:03:19,1.3126312314082909
2012-01-16 19:11:44,1.2870739698139302
2012-01-20 15:38:37,1.1887397518756857
