Date,Fees Per Transaction
2016-12-06,0.282053421023416
2016-12-10,0.268415679677247
2016-12-14,0.257167657970351
2016-12-18,0.271414522768642
2016-12-22,0.287930631254743
2016-12-26,0.324458965781085
2016-12-30,0.333735585671981
2017-01-03,0.398842614183425
2017-01-07,0.327445308507098
2017-01-11,0.3076502761644
2017-01-15,0.282480723299076
2017-01-19,0.331487472539032
2017-01-23,0.42511905248726
2017-01-27,0.396573968339643
2017-01-31,0.442557099418864
2017-02-04,0.496585265659228
2017-02-08,0.536196397407789
2017-02-12,0.430482096722623
2017-02-16,0.614010959674827
2017-02-20,0.596831778455123
2017-02-24,0.777922933772208
2017-02-28,0.832348550603316
2017-03-04,1.0755456038632
2017-03-08,0.941788759330839
2017-03-12,1.03888390891313
2017-03-16,0.986049952385233
2017-03-20,0.903272168737338
2017-03-24,0.791630006657898
2017-03-28,0.826667939859967
2017-04-01,0.807561319992362
2017-04-05,0.839790909331461
2017-04-09,0.842977230697727
2017-04-13,1.12747811003386
2017-04-17,0.880808121081756
2017-04-21,0.920038821930214
2017-04-25,1.05821414119998
2017-04-29,1.00531982785763
2017-05-03,1.23841221837743
2017-05-07,1.3770530796455
2017-05-11,1.73936382784053
2017-05-15,1.72331363880453
2017-05-19,2.67768085313101
2017-05-23,2.80498607212828
2017-05-27,3.36738518766872
2017-05-31,3.99273974773409
2017-06-04,4.19550007035252
2017-06-08,4.39555441845939
2017-06-12,4.27641105364383
2017-06-16,3.38166456587931
2017-06-20,3.83455716209381
2017-06-24,3.58394444762183
2017-06-28,3.46947544810847
2017-07-02,2.46525601463426
2017-07-06,2.78667310906896
2017-07-10,1.99878142597642
2017-07-14,2.1405726396078
2017-07-18,1.94176843709901
2017-07-22,2.12451048708968
2017-07-26,1.75592651681331
2017-07-30,1.99203092022726
2017-08-03,1.59746245264407
2017-08-07,1.61677257061397
2017-08-11,2.91314257845576
2017-08-15,4.72166692069306
2017-08-19,4.06179261167978
2017-08-23,7.13726839562085
2017-08-27,5.95656976189112
2017-08-31,6.89524420537229
2017-09-04,5.3313554939949
2017-09-08,3.48874928081846
2017-09-12,2.46952937698549
2017-09-16,1.94171384506566
2017-09-20,2.45470247093031
2017-09-24,1.66571337011368
2017-09-28,2.03912155743406
2017-10-02,2.69122572918745
2017-10-06,2.29761544477561
2017-10-10,2.66781790314962
2017-10-14,4.39594859804509
2017-10-18,3.14771873542106
2017-10-22,3.17920465527297
2017-10-26,2.45868936155766
2017-10-30,5.10872524255683
2017-11-03,7.09609972008243
2017-11-07,6.21440279646001
2017-11-11,10.7719906052011
2017-11-15,13.2745413993023
2017-11-19,7.26236461040384
2017-11-23,6.18967313224505
2017-11-27,6.00414775635294
2017-12-01,6.11178644292724
2017-12-05,6.3389140253949
2017-12-09,21.3744128827459
2017-12-13,23.9657209218713
2017-12-17,26.6072853773383
2017-12-21,54.7903932891521
2017-12-25,41.9812911136269
2017-12-29,32.2826758040604
2018-01-02,26.4755549209237
2018-01-06,32.2477577813382
2018-01-10,29.4200009372911
2018-01-14,28.6136658235842
2018-01-18,24.4112585250672
2018-01-22,14.1482888143159
2018-01-26,10.4228125517013
2018-01-30,7.15889268874182
2018-02-03,6.7009733039161
2018-02-07,4.60327416123577
2018-02-11,3.47059075693759
2018-02-15,3.1651397606376
2018-02-19,2.9527262594611
2018-02-23,3.96065986744794
2018-02-27,2.43108807317718
2018-03-03,2.43176922569776
2018-03-07,1.69392131467231
2018-03-11,2.30178782706006
2018-03-15,1.44345357191633
2018-03-19,1.33363941312735
2018-03-23,1.24333567868471
2018-03-27,1.17334400146279
2018-03-31,0.948825984992173
2018-04-04,0.941679395271181
2018-04-08,1.06043961357096
2018-04-12,1.25342060758145
2018-04-16,1.05935016553693
2018-04-20,1.1803434498366
2018-04-24,2.37300172919032
2018-04-28,1.89111709458818
2018-05-02,1.66996959193974
2018-05-06,1.75859774876615
2018-05-10,1.18704994467666
2018-05-14,1.43583559245097
2018-05-18,2.67395450376291
2018-05-22,1.07412928004854
2018-05-26,1.06256874972862
2018-05-30,0.824726548507777
2018-06-03,0.717734368571062
2018-06-07,0.766521945894127
2018-06-11,0.781414237170705
2018-06-15,0.737116785549491
2018-06-19,2.93612843297315
