Date,Transactions Per Block,Circulating Bitcoin,Estimated Transaction Volume,Fees Per Transaction,Market Value to Realised Value,Confirmed Payments,Price,Vol.,Change %
2013-10-03,299.251256281407,,26204965.15386135,0.0632947317896417,,24786920.5,131.0,35.27K,6.50%
2013-10-04,295.8278652879782,,19563420.145927824,0.06966772791423186,,24841564.0,136.8,18.51K,4.45%
2013-10-05,292.40447429454946,,12921875.1379943,0.076040724038822,,24896207.5,136.7,5.00K,-0.09%
2013-10-06,288.98108330112075,,15767132.967093326,0.08241372016341215,,24950851.0,137.8,4.89K,0.80%
2013-10-07,285.557692307692,,18612390.796192348,0.0887867162880023,,24996697.5,135.8,7.36K,-1.45%
2013-10-08,284.33313409563374,,21457648.625291374,0.08040283053805383,,25042544.0,136.5,5.23K,0.51%
2013-10-09,283.1085758835755,,24302906.4543904,0.07201894478810536,,25088390.5,139.5,17.49K,2.21%
2013-10-10,281.88401767151726,,23432112.741636924,0.06363505903815687,,25134237.0,140.4,11.08K,0.65%
2013-10-11,280.659459459459,,22561319.02888345,0.0552511732882084,,25186648.0,140.1,7.25K,-0.22%
2013-10-12,264.1734407484405,,21690525.316129975,0.06443478698186936,,25239059.0,142.9,11.02K,1.99%
2013-10-13,247.687422037422,,20819731.6033765,0.0736184006755303,,25291470.0,147.5,16.17K,3.25%
2013-10-14,231.20140332640352,,21135661.497268498,0.08280201436919124,,25343881.0,151.4,29.99K,2.60%
2013-10-15,214.715384615385,,21451591.3911605,0.0919856280628522,,25396677.0,158.1,15.73K,4.44%
2013-10-16,223.044385995171,,21767521.2850525,0.0952289689105314,,25449473.0,152.8,42.78K,-3.33%
2013-10-17,231.37338737495702,,22083451.1789445,0.0984723097582106,,25502269.0,157.6,15.88K,3.12%
2013-10-18,239.702388754743,,27845274.06126207,0.1017156506058898,,25555065.0,168.3,25.89K,6.78%
2013-10-19,248.031390134529,,33607096.943579644,0.104958991453569,,25611207.0,183.1,55.28K,8.84%
2013-10-20,248.595940790942,,39368919.825897224,0.1169700468805275,,25667349.0,186.1,11.42K,1.61%
2013-10-21,249.160491447355,,45130742.7082148,0.128981102307486,,25723491.0,192.8,24.10K,3.59%
2013-10-22,249.725042103768,,52488681.79847395,0.1409921577344445,,25779633.0,203.0,33.87K,5.30%
2013-10-23,250.289592760181,,59846620.888733104,0.153003213161403,,25839947.75,228.0,39.90K,12.31%
2013-10-24,248.73814429080625,,67204559.97899225,0.1996187417602745,,25900262.5,207.0,96.75K,-9.21%
2013-10-25,247.1866958214315,,74562499.0692514,0.24623427035914602,,25960577.25,197.9,36.75K,-4.40%
2013-10-26,245.63524735205675,,70956197.54307576,0.29284979895801755,,26020892.0,188.6,12.09K,-4.71%
2013-10-27,244.083798882682,,67349896.01690009,0.339465327556889,,26069184.0,206.9,13.16K,9.73%
2013-10-28,251.99768328523425,,63743594.490724444,0.2806072207127673,,26117476.0,206.9,11.07K,0.00%
2013-10-29,259.9115676877865,,60137292.9645488,0.22174911386864551,,26165768.0,216.0,10.02K,4.40%
2013-10-30,267.8254520903388,,51457773.904475324,0.16289100702452375,,26214060.0,208.0,13.47K,-3.70%
2013-10-31,275.739336492891,,42778254.84440185,0.104032900180402,,26261784.5,211.2,5.29K,1.52%
2013-11-01,265.16732288248875,,34098735.78432837,0.13543879858263974,,26309509.0,213.4,5.88K,1.07%
2013-11-02,254.59530927208652,,25419216.7242549,0.16684469698487747,,26357233.5,211.7,4.88K,-0.82%
2013-11-03,244.02329566168424,,33524712.980886698,0.19825059538711523,,26404958.0,224.0,12.27K,5.82%
2013-11-04,233.451282051282,,41630209.237518504,0.229656493789353,,26452103.25,238.2,18.06K,6.32%
2013-11-05,285.5791331802525,,49735705.4941503,0.30347013039307347,,26499248.5,251.3,45.10K,5.52%
2013-11-06,337.706984309223,,57841201.7507821,0.377283766996794,,26546393.75,264.1,38.82K,5.09%
2013-11-07,389.8348354381935,,63282403.042701304,0.4510974036005145,,26593539.0,309.6,86.13K,17.25%
2013-11-08,441.962686567164,,68723604.3346205,0.524911040204235,,26651539.25,355.0,44.63K,14.65%
2013-11-09,403.99315920398,,74164805.62653969,0.42649979892069245,,26709539.5,367.8,49.91K,3.60%
2013-11-10,366.023631840796,,79606006.9184589,0.32808855763714995,,26767539.75,336.3,74.25K,-8.56%
2013-11-11,328.054104477612,,89142793.20778766,0.2296773163536075,,26825540.0,363.0,18.00K,7.93%
2013-11-12,290.084577114428,,98679579.49711645,0.131266075070065,,26888066.25,380.0,22.03K,4.70%
2013-11-13,278.35595860901697,,108216365.78644523,0.1293789185803595,,26950592.5,434.9,36.02K,14.42%
2013-11-14,266.627340103606,,117753152.075774,0.127491762090654,,27013118.75,433.4,31.41K,-0.33%
2013-11-15,254.89872159819498,,132054750.9789335,0.1256046056009485,,27075645.0,433.9,28.13K,0.12%
2013-11-16,243.170103092784,,146356349.882093,0.123717449111243,,27135470.5,462.0,19.14K,6.46%
2013-11-17,300.6062358561732,,160657948.7852525,0.13699055568871,,27195296.0,528.3,26.72K,14.36%
2013-11-18,358.04236861956247,,174959547.688412,0.150263662266177,,27255121.5,785.4,72.07K,48.67%
2013-11-19,415.4785013829517,,249713198.396034,0.16353676884364401,,27314947.0,645.7,99.10K,-17.79%
2013-11-20,472.914634146341,,324466849.103656,0.176809875421111,,27394609.25,638.0,91.59K,-1.20%
2013-11-21,445.25293989547,,399220499.811278,0.19146204858291802,,27474271.5,764.9,38.73K,19.90%
2013-11-22,417.591245644599,,473974150.5189,0.206114221744725,,27553933.75,802.0,30.15K,4.85%
2013-11-23,389.929551393728,,422629036.7010622,0.220766394906532,,27633596.0,832.5,21.31K,3.80%
2013-11-24,362.267857142857,,371283922.8832245,0.235418568068339,,27705773.5,795.0,25.95K,-4.50%
2013-11-25,408.332108326756,,319938809.0653868,0.250300379644932,,27777951.0,830.0,26.38K,4.40%
2013-11-26,454.396359510655,,268593695.247549,0.265182191221525,,27850128.5,970.0,31.61K,16.86%
2013-11-27,500.46061069455396,,258236102.36336398,0.280064002798118,,27922306.0,"1,079.9",37.86K,11.33%
2013-11-28,546.524861878453,,247878509.479179,0.294945814374711,,28011696.5,"1,101.4",37.40K,1.99%
2013-11-29,528.7144011258209,,237520916.594994,0.287612210512713,,28101087.0,"1,206.9",38.71K,9.58%
2013-11-30,510.903940373189,,227163323.710809,0.280278606650715,,28190477.5,"1,205.7",15.10K,-0.11%
2013-12-01,493.093479620557,,223503408.23076326,0.272945002788717,,28279868.0,"1,004.4",79.92K,-16.69%
2013-12-02,475.283018867925,,219843492.7507175,0.265611398926719,,28356542.0,"1,096.6",37.05K,9.18%
2013-12-03,443.11971607402074,,216183577.27067173,0.266329956270711,,28433216.0,"1,154.9",19.34K,5.32%
2013-12-04,410.9564132801165,,212523661.790626,0.267048513614703,,28509890.0,"1,237.6",16.30K,7.16%
2013-12-05,378.7931104862123,,190957613.57959175,0.267767070958695,,28586564.0,"1,106.3",58.44K,-10.60%
2013-12-06,346.629807692308,,169391565.3685575,0.268485628302687,,28654183.75,845.0,53.52K,-23.62%
2013-12-07,348.023137019231,,147825517.15752324,0.2600629929134075,,28721803.5,697.0,97.66K,-17.51%
2013-12-08,349.41646634615404,,126259468.946489,0.251640357524128,,28789423.25,804.0,31.21K,15.34%
2013-12-09,350.809795673077,,119299882.92482337,0.24321772213484852,,28857043.0,919.0,27.63K,14.30%
2013-12-10,352.203125,,112340296.90315776,0.234795086745569,,28921287.0,"1,033.7",22.10K,12.49%
2013-12-11,332.1334995288945,,105380710.88149214,0.22662511048817752,,28985531.0,919.9,24.36K,-11.01%
2013-12-12,312.063874057789,,98421124.8598265,0.218455134230786,,29049775.0,900.0,9.91K,-2.17%
2013-12-13,291.9942485866835,,185008615.22317162,0.2102851579733945,,29114019.0,936.8,17.37K,4.09%
2013-12-14,271.924623115578,,271596105.58651674,0.202115181716003,,29173007.5,908.9,11.59K,-2.97%
2013-12-15,306.34296482412077,,358183595.9498619,0.190419190543914,,29231996.0,919.9,15.17K,1.20%
2013-12-16,340.7613065326635,,444771086.313207,0.17872319937182501,,29290984.5,759.9,41.33K,-17.39%
2013-12-17,375.1796482412062,,366464620.477754,0.167027208199736,,29349973.0,715.0,31.71K,-5.92%
2013-12-18,409.597989949749,,288158154.64230096,0.155331217027647,,29420942.75,541.0,110.50K,-24.34%
2013-12-19,385.4484924623117,,209851688.806848,0.1487148710845025,,29491912.5,732.0,45.76K,35.30%
2013-12-20,361.2989949748745,,131545222.971395,0.142098525141358,,29562882.25,650.0,34.77K,-11.20%
2013-12-21,337.14949748743726,,150024032.99819776,0.1354821791982135,,29633852.0,640.5,14.73K,-1.46%
2013-12-22,313.0,,168502843.0250005,0.128865833255069,,29688764.0,639.5,11.63K,-0.15%
2013-12-23,305.96666666666675,,186981653.05180326,0.1402070810572705,,29743676.0,713.2,15.07K,11.53%
2013-12-24,298.9333333333335,,205460463.078606,0.151548328859472,,29798588.0,702.8,10.95K,-1.47%
2013-12-25,291.90000000000026,,169507428.04226673,0.1628895766616735,,29853500.0,707.3,5.34K,0.64%
2013-12-26,284.866666666667,,133554393.00592741,0.174230824463875,,29905363.25,802.0,23.53K,13.39%
2013-12-27,294.01560693641653,,97601357.96958812,0.16908982480864826,,29957226.5,803.0,13.89K,0.13%
2013-12-28,303.16454720616605,,61648322.9332488,0.16394882515342152,,30009089.75,762.0,13.34K,-5.11%
2013-12-29,312.3134874759155,,65697084.83282493,0.15880782549819475,,30060953.0,785.0,7.04K,3.01%
2013-12-30,321.462427745665,,69745846.73240104,0.153666825842968,,30110611.25,804.8,10.48K,2.53%
2013-12-31,335.7862618030375,,73794608.63197717,0.15936448425305377,,30160269.5,805.9,9.17K,0.14%
2014-01-01,350.11009586041,,77843370.5315533,0.1650621426631395,,30209927.75,815.9,10.76K,1.24%
2014-01-02,364.4339299177825,,101567105.59580222,0.17075980107322525,,30259586.0,856.9,12.81K,5.02%
2014-01-03,378.757763975155,,125290840.66005115,0.176457459483311,,30316214.0,884.3,9.71K,3.19%
2014-01-04,372.9256676141345,,149014575.7243001,0.18861286146435502,,30372842.0,924.7,14.24K,4.57%
2014-01-05,367.09357125311396,,172738310.788549,0.200768263445399,,30429470.0,"1,014.7",21.37K,9.74%
2014-01-06,361.2614748920935,,148907940.25244752,0.212923665426443,,30486098.0,"1,012.7",23.08K,-0.21%
2014-01-07,355.429378531073,,125077569.716346,0.225079067407487,,30548818.0,879.9,22.67K,-13.11%
2014-01-08,333.0672719935427,,101247199.1802445,0.21556292875792926,,30611538.0,938.8,14.10K,6.70%
2014-01-09,310.7051654560125,,77416828.644143,0.2060467901083715,,30674258.0,937.0,14.42K,-0.20%
2014-01-10,288.34305891848226,,80021753.0976806,0.19653065145881374,,30736978.0,957.8,6.35K,2.22%
2014-01-11,265.980952380952,,82626677.5512182,0.187014512809256,,30790496.75,"1,005.3",11.18K,4.97%
2014-01-12,283.1976708074532,,85231602.0047558,0.19600624934138175,,30844015.5,939.8,9.93K,-6.52%
2014-01-13,300.41438923395447,,87836526.4582934,0.20499798587350748,,30897534.25,922.9,10.13K,-1.80%
2014-01-14,317.63110766045577,,84052759.29880054,0.21398972240563324,,30951053.0,919.3,4.31K,-0.39%
2014-01-15,334.847826086957,,80268992.13930771,0.222981458937759,,31009627.5,941.2,6.83K,2.39%
2014-01-16,322.1491831746853,,76485224.97981486,0.2147226629876695,,31068202.0,913.5,5.10K,-2.95%
2014-01-17,309.4505402624135,,72701457.820322,0.20646386703758002,,31126776.5,894.2,10.31K,-2.12%
2014-01-18,296.75189735014175,,83801829.41735476,0.1982050710874905,,31185351.0,905.7,6.04K,1.29%
2014-01-19,284.05325443787,,94902201.0143875,0.189946275137401,,31244368.75,954.8,7.57K,5.42%
2014-01-20,302.836550997894,,106002572.61142024,0.19606578658362125,,31303386.5,956.0,10.41K,0.12%
2014-01-21,321.619847557918,,117102944.208453,0.2021852980298415,,31362404.25,962.2,6.59K,0.65%
